date,state,parliament,gender,population ('000)
2020/01/01,Negeri Sembilan,P.126 Jelebu,both,64.2
2020/01/01,Negeri Sembilan,P.126 Jelebu,both,60.747
2020/01/01,Negeri Sembilan,P.126 Jelebu,both,3.453
2020/01/01,Negeri Sembilan,P.126 Jelebu,female,29.804
2020/01/01,Negeri Sembilan,P.126 Jelebu,male,34.396
2021/01/01,Negeri Sembilan,P.126 Jelebu,both,64.4
2021/01/01,Negeri Sembilan,P.126 Jelebu,both,61.3
2021/01/01,Negeri Sembilan,P.126 Jelebu,both,3.1
2021/01/01,Negeri Sembilan,P.126 Jelebu,female,30
2021/01/01,Negeri Sembilan,P.126 Jelebu,male,34.4
2022/01/01,Negeri Sembilan,P.126 Jelebu,both,64.7
2022/01/01,Negeri Sembilan,P.126 Jelebu,both,61.8
2022/01/01,Negeri Sembilan,P.126 Jelebu,both,2.8
2022/01/01,Negeri Sembilan,P.126 Jelebu,female,30.2
2022/01/01,Negeri Sembilan,P.126 Jelebu,male,34.5
2020/01/01,Negeri Sembilan,P.127 Jempol,both,108.379
2020/01/01,Negeri Sembilan,P.127 Jempol,both,103.578
2020/01/01,Negeri Sembilan,P.127 Jempol,both,4.801
2020/01/01,Negeri Sembilan,P.127 Jempol,female,52.282
2020/01/01,Negeri Sembilan,P.127 Jempol,male,56.097
2021/01/01,Negeri Sembilan,P.127 Jempol,both,108.8
2021/01/01,Negeri Sembilan,P.127 Jempol,both,104.4
2021/01/01,Negeri Sembilan,P.127 Jempol,both,4.3
2021/01/01,Negeri Sembilan,P.127 Jempol,female,52.6
2021/01/01,Negeri Sembilan,P.127 Jempol,male,56.1
2022/01/01,Negeri Sembilan,P.127 Jempol,both,109.2
2022/01/01,Negeri Sembilan,P.127 Jempol,both,105.2
2022/01/01,Negeri Sembilan,P.127 Jempol,both,4
2022/01/01,Negeri Sembilan,P.127 Jempol,female,53
2022/01/01,Negeri Sembilan,P.127 Jempol,male,56.2
2020/01/01,Negeri Sembilan,P.128 Seremban,both,272.52
2020/01/01,Negeri Sembilan,P.128 Seremban,both,249.455
2020/01/01,Negeri Sembilan,P.128 Seremban,both,23.065
2020/01/01,Negeri Sembilan,P.128 Seremban,female,132.011
2020/01/01,Negeri Sembilan,P.128 Seremban,male,140.509
2021/01/01,Negeri Sembilan,P.128 Seremban,both,273.5
2021/01/01,Negeri Sembilan,P.128 Seremban,both,252.5
2021/01/01,Negeri Sembilan,P.128 Seremban,both,20.9
2021/01/01,Negeri Sembilan,P.128 Seremban,female,132.9
2021/01/01,Negeri Sembilan,P.128 Seremban,male,140.6
2022/01/01,Negeri Sembilan,P.128 Seremban,both,274.6
2022/01/01,Negeri Sembilan,P.128 Seremban,both,255.4
2022/01/01,Negeri Sembilan,P.128 Seremban,both,19.2
2022/01/01,Negeri Sembilan,P.128 Seremban,female,133.8
2022/01/01,Negeri Sembilan,P.128 Seremban,male,140.8
2020/01/01,Negeri Sembilan,P.129 Kuala Pilah,both,71.004
2020/01/01,Negeri Sembilan,P.129 Kuala Pilah,both,69.21
2020/01/01,Negeri Sembilan,P.129 Kuala Pilah,both,1.794
2020/01/01,Negeri Sembilan,P.129 Kuala Pilah,female,34.647
2020/01/01,Negeri Sembilan,P.129 Kuala Pilah,male,36.357
2021/01/01,Negeri Sembilan,P.129 Kuala Pilah,both,71.3
2021/01/01,Negeri Sembilan,P.129 Kuala Pilah,both,69.6
2021/01/01,Negeri Sembilan,P.129 Kuala Pilah,both,1.6
2021/01/01,Negeri Sembilan,P.129 Kuala Pilah,female,34.9
2021/01/01,Negeri Sembilan,P.129 Kuala Pilah,male,36.4
2022/01/01,Negeri Sembilan,P.129 Kuala Pilah,both,71.5
2022/01/01,Negeri Sembilan,P.129 Kuala Pilah,both,70.1
2022/01/01,Negeri Sembilan,P.129 Kuala Pilah,both,1.5
2022/01/01,Negeri Sembilan,P.129 Kuala Pilah,female,35.1
2022/01/01,Negeri Sembilan,P.129 Kuala Pilah,male,36.4
2020/01/01,Negeri Sembilan,P.130 Rasah,both,256.585
2020/01/01,Negeri Sembilan,P.130 Rasah,both,243.617
2020/01/01,Negeri Sembilan,P.130 Rasah,both,12.968
2020/01/01,Negeri Sembilan,P.130 Rasah,female,125.05
2020/01/01,Negeri Sembilan,P.130 Rasah,male,131.535
2021/01/01,Negeri Sembilan,P.130 Rasah,both,257.5
2021/01/01,Negeri Sembilan,P.130 Rasah,both,245.7
2021/01/01,Negeri Sembilan,P.130 Rasah,both,11.7
2021/01/01,Negeri Sembilan,P.130 Rasah,female,125.9
2021/01/01,Negeri Sembilan,P.130 Rasah,male,131.6
2022/01/01,Negeri Sembilan,P.130 Rasah,both,258.5
2022/01/01,Negeri Sembilan,P.130 Rasah,both,247.8
2022/01/01,Negeri Sembilan,P.130 Rasah,both,10.7
2022/01/01,Negeri Sembilan,P.130 Rasah,female,126.8
2022/01/01,Negeri Sembilan,P.130 Rasah,male,131.8
2020/01/01,Negeri Sembilan,P.131 Rembau,both,210.209
2020/01/01,Negeri Sembilan,P.131 Rembau,both,199.489
2020/01/01,Negeri Sembilan,P.131 Rembau,both,10.72
2020/01/01,Negeri Sembilan,P.131 Rembau,female,100.339
2020/01/01,Negeri Sembilan,P.131 Rembau,male,109.87
2021/01/01,Negeri Sembilan,P.131 Rembau,both,210.9
2021/01/01,Negeri Sembilan,P.131 Rembau,both,201.3
2021/01/01,Negeri Sembilan,P.131 Rembau,both,9.7
2021/01/01,Negeri Sembilan,P.131 Rembau,female,101
2021/01/01,Negeri Sembilan,P.131 Rembau,male,109.9
2022/01/01,Negeri Sembilan,P.131 Rembau,both,211.8
2022/01/01,Negeri Sembilan,P.131 Rembau,both,203
2022/01/01,Negeri Sembilan,P.131 Rembau,both,8.8
2022/01/01,Negeri Sembilan,P.131 Rembau,female,101.7
2022/01/01,Negeri Sembilan,P.131 Rembau,male,110.1
2020/01/01,Negeri Sembilan,P.132 Port Dickson,both,128.954
2020/01/01,Negeri Sembilan,P.132 Port Dickson,both,122.844
2020/01/01,Negeri Sembilan,P.132 Port Dickson,both,6.11
2020/01/01,Negeri Sembilan,P.132 Port Dickson,female,60.545
2020/01/01,Negeri Sembilan,P.132 Port Dickson,male,68.409
2021/01/01,Negeri Sembilan,P.132 Port Dickson,both,129.4
2021/01/01,Negeri Sembilan,P.132 Port Dickson,both,123.9
2021/01/01,Negeri Sembilan,P.132 Port Dickson,both,5.5
2021/01/01,Negeri Sembilan,P.132 Port Dickson,female,61
2021/01/01,Negeri Sembilan,P.132 Port Dickson,male,68.4
2022/01/01,Negeri Sembilan,P.132 Port Dickson,both,129.9
2022/01/01,Negeri Sembilan,P.132 Port Dickson,both,124.9
2022/01/01,Negeri Sembilan,P.132 Port Dickson,both,5
2022/01/01,Negeri Sembilan,P.132 Port Dickson,female,61.4
2022/01/01,Negeri Sembilan,P.132 Port Dickson,male,68.6
2020/01/01,Negeri Sembilan,P.133 Tampin,both,88.123
2020/01/01,Negeri Sembilan,P.133 Tampin,both,83.289
2020/01/01,Negeri Sembilan,P.133 Tampin,both,4.834
2020/01/01,Negeri Sembilan,P.133 Tampin,female,41.322
2020/01/01,Negeri Sembilan,P.133 Tampin,male,46.801
2021/01/01,Negeri Sembilan,P.133 Tampin,both,88.4
2021/01/01,Negeri Sembilan,P.133 Tampin,both,84.1
2021/01/01,Negeri Sembilan,P.133 Tampin,both,4.4
2021/01/01,Negeri Sembilan,P.133 Tampin,female,41.6
2021/01/01,Negeri Sembilan,P.133 Tampin,male,46.8
2022/01/01,Negeri Sembilan,P.133 Tampin,both,88.8
2022/01/01,Negeri Sembilan,P.133 Tampin,both,84.8
2022/01/01,Negeri Sembilan,P.133 Tampin,both,4
2022/01/01,Negeri Sembilan,P.133 Tampin,female,41.9
2022/01/01,Negeri Sembilan,P.133 Tampin,male,46.9
2020/01/01,Melaka,P.134 Masjid Tanah,both,95.689
2020/01/01,Melaka,P.134 Masjid Tanah,both,90.536
2020/01/01,Melaka,P.134 Masjid Tanah,both,5.153
2020/01/01,Melaka,P.134 Masjid Tanah,female,47.309
2020/01/01,Melaka,P.134 Masjid Tanah,male,48.38
2021/01/01,Melaka,P.134 Masjid Tanah,both,96.3
2021/01/01,Melaka,P.134 Masjid Tanah,both,91.3
2021/01/01,Melaka,P.134 Masjid Tanah,both,5
2021/01/01,Melaka,P.134 Masjid Tanah,female,47.7
2021/01/01,Melaka,P.134 Masjid Tanah,male,48.6
2022/01/01,Melaka,P.134 Masjid Tanah,both,96.6
2022/01/01,Melaka,P.134 Masjid Tanah,both,91.9
2022/01/01,Melaka,P.134 Masjid Tanah,both,4.7
2022/01/01,Melaka,P.134 Masjid Tanah,female,48
2022/01/01,Melaka,P.134 Masjid Tanah,male,48.6
2020/01/01,Melaka,P.135 Alor Gajah,both,171.073
2020/01/01,Melaka,P.135 Alor Gajah,both,155.85
2020/01/01,Melaka,P.135 Alor Gajah,both,15.223
2020/01/01,Melaka,P.135 Alor Gajah,female,81.204
2020/01/01,Melaka,P.135 Alor Gajah,male,89.869
2021/01/01,Melaka,P.135 Alor Gajah,both,172.1
2021/01/01,Melaka,P.135 Alor Gajah,both,157.3
2021/01/01,Melaka,P.135 Alor Gajah,both,14.8
2021/01/01,Melaka,P.135 Alor Gajah,female,81.8
2021/01/01,Melaka,P.135 Alor Gajah,male,90.3
2022/01/01,Melaka,P.135 Alor Gajah,both,172.7
2022/01/01,Melaka,P.135 Alor Gajah,both,158.7
2022/01/01,Melaka,P.135 Alor Gajah,both,13.9
2022/01/01,Melaka,P.135 Alor Gajah,female,82.3
2022/01/01,Melaka,P.135 Alor Gajah,male,90.3
2020/01/01,Melaka,P.136 Tangga Batu,both,198.033
2020/01/01,Melaka,P.136 Tangga Batu,both,187.981
2020/01/01,Melaka,P.136 Tangga Batu,both,10.052
2020/01/01,Melaka,P.136 Tangga Batu,female,92.261
2020/01/01,Melaka,P.136 Tangga Batu,male,105.772
2021/01/01,Melaka,P.136 Tangga Batu,both,199.2
2021/01/01,Melaka,P.136 Tangga Batu,both,189.5
2021/01/01,Melaka,P.136 Tangga Batu,both,9.8
2021/01/01,Melaka,P.136 Tangga Batu,female,93
2021/01/01,Melaka,P.136 Tangga Batu,male,106.3
2022/01/01,Melaka,P.136 Tangga Batu,both,199.9
2022/01/01,Melaka,P.136 Tangga Batu,both,190.7
2022/01/01,Melaka,P.136 Tangga Batu,both,9.1
2022/01/01,Melaka,P.136 Tangga Batu,female,93.5
2022/01/01,Melaka,P.136 Tangga Batu,male,106.3
2020/01/01,Melaka,P.137 Hang Tuah Jaya,both,183.693
2020/01/01,Melaka,P.137 Hang Tuah Jaya,both,169.388
2020/01/01,Melaka,P.137 Hang Tuah Jaya,both,14.305
2020/01/01,Melaka,P.137 Hang Tuah Jaya,female,87.77
2020/01/01,Melaka,P.137 Hang Tuah Jaya,male,95.923
2021/01/01,Melaka,P.137 Hang Tuah Jaya,both,184.8
2021/01/01,Melaka,P.137 Hang Tuah Jaya,both,170.8
2021/01/01,Melaka,P.137 Hang Tuah Jaya,both,14
2021/01/01,Melaka,P.137 Hang Tuah Jaya,female,88.4
2021/01/01,Melaka,P.137 Hang Tuah Jaya,male,96.4
2022/01/01,Melaka,P.137 Hang Tuah Jaya,both,185.4
2022/01/01,Melaka,P.137 Hang Tuah Jaya,both,172.3
2022/01/01,Melaka,P.137 Hang Tuah Jaya,both,13.1
2022/01/01,Melaka,P.137 Hang Tuah Jaya,female,89
2022/01/01,Melaka,P.137 Hang Tuah Jaya,male,96.4
2020/01/01,Melaka,P.138 Kota Melaka,both,215.409
2020/01/01,Melaka,P.138 Kota Melaka,both,200.06
2020/01/01,Melaka,P.138 Kota Melaka,both,15.349
2020/01/01,Melaka,P.138 Kota Melaka,female,102.679
2020/01/01,Melaka,P.138 Kota Melaka,male,112.73
2021/01/01,Melaka,P.138 Kota Melaka,both,216.7
2021/01/01,Melaka,P.138 Kota Melaka,both,201.7
2021/01/01,Melaka,P.138 Kota Melaka,both,15
2021/01/01,Melaka,P.138 Kota Melaka,female,103.5
2021/01/01,Melaka,P.138 Kota Melaka,male,113.3
2022/01/01,Melaka,P.138 Kota Melaka,both,217.4
2022/01/01,Melaka,P.138 Kota Melaka,both,203.3
2022/01/01,Melaka,P.138 Kota Melaka,both,14.2
2022/01/01,Melaka,P.138 Kota Melaka,female,104.1
2022/01/01,Melaka,P.138 Kota Melaka,male,113.3
2020/01/01,Melaka,P.139 Jasin,both,134.531
2020/01/01,Melaka,P.139 Jasin,both,123.546
2020/01/01,Melaka,P.139 Jasin,both,10.985
2020/01/01,Melaka,P.139 Jasin,female,62.263
2020/01/01,Melaka,P.139 Jasin,male,72.268
2021/01/01,Melaka,P.139 Jasin,both,135.4
2021/01/01,Melaka,P.139 Jasin,both,124.7
2021/01/01,Melaka,P.139 Jasin,both,10.7
2021/01/01,Melaka,P.139 Jasin,female,62.7
2021/01/01,Melaka,P.139 Jasin,male,72.6
2022/01/01,Melaka,P.139 Jasin,both,135.8
2022/01/01,Melaka,P.139 Jasin,both,125.8
2022/01/01,Melaka,P.139 Jasin,both,10
2022/01/01,Melaka,P.139 Jasin,female,63.1
2022/01/01,Melaka,P.139 Jasin,male,72.7
2020/01/01,Johor,P.140 Segamat,both,76.011
2020/01/01,Johor,P.140 Segamat,both,71.225
2020/01/01,Johor,P.140 Segamat,both,4.786
2020/01/01,Johor,P.140 Segamat,female,36.607
2020/01/01,Johor,P.140 Segamat,male,39.404
2021/01/01,Johor,P.140 Segamat,both,76.2
2021/01/01,Johor,P.140 Segamat,both,71.7
2021/01/01,Johor,P.140 Segamat,both,4.5
2021/01/01,Johor,P.140 Segamat,female,36.8
2021/01/01,Johor,P.140 Segamat,male,39.4
2022/01/01,Johor,P.140 Segamat,both,76.3
2022/01/01,Johor,P.140 Segamat,both,72.1
2022/01/01,Johor,P.140 Segamat,both,4.1
2022/01/01,Johor,P.140 Segamat,female,37.1
2022/01/01,Johor,P.140 Segamat,male,39.2
2020/01/01,Johor,P.141 Sekijang,both,79.347
2020/01/01,Johor,P.141 Sekijang,both,75.894
2020/01/01,Johor,P.141 Sekijang,both,3.453
2020/01/01,Johor,P.141 Sekijang,female,38.248
2020/01/01,Johor,P.141 Sekijang,male,41.099
2021/01/01,Johor,P.141 Sekijang,both,79.6
2021/01/01,Johor,P.141 Sekijang,both,76.3
2021/01/01,Johor,P.141 Sekijang,both,3.2
2021/01/01,Johor,P.141 Sekijang,female,38.5
2021/01/01,Johor,P.141 Sekijang,male,41.1
2022/01/01,Johor,P.141 Sekijang,both,79.6
2022/01/01,Johor,P.141 Sekijang,both,76.6
2022/01/01,Johor,P.141 Sekijang,both,3
2022/01/01,Johor,P.141 Sekijang,female,38.7
2022/01/01,Johor,P.141 Sekijang,male,40.9
2020/01/01,Johor,P.142 Labis,both,42.404
2020/01/01,Johor,P.142 Labis,both,39.002
2020/01/01,Johor,P.142 Labis,both,3.402
2020/01/01,Johor,P.142 Labis,female,19.707
2020/01/01,Johor,P.142 Labis,male,22.697
2021/01/01,Johor,P.142 Labis,both,42.5
2021/01/01,Johor,P.142 Labis,both,39.3
2021/01/01,Johor,P.142 Labis,both,3.2
2021/01/01,Johor,P.142 Labis,female,19.8
2021/01/01,Johor,P.142 Labis,male,22.7
2022/01/01,Johor,P.142 Labis,both,42.5
2022/01/01,Johor,P.142 Labis,both,39.6
2022/01/01,Johor,P.142 Labis,both,3
2022/01/01,Johor,P.142 Labis,female,19.9
2022/01/01,Johor,P.142 Labis,male,22.6
2020/01/01,Johor,P.143 Pagoh,both,95.202
2020/01/01,Johor,P.143 Pagoh,both,83.657
2020/01/01,Johor,P.143 Pagoh,both,11.545
2020/01/01,Johor,P.143 Pagoh,female,41.864
2020/01/01,Johor,P.143 Pagoh,male,53.338
2021/01/01,Johor,P.143 Pagoh,both,95.4
2021/01/01,Johor,P.143 Pagoh,both,84.6
2021/01/01,Johor,P.143 Pagoh,both,10.8
2021/01/01,Johor,P.143 Pagoh,female,42.2
2021/01/01,Johor,P.143 Pagoh,male,53.3
2022/01/01,Johor,P.143 Pagoh,both,95.5
2022/01/01,Johor,P.143 Pagoh,both,85.5
2022/01/01,Johor,P.143 Pagoh,both,10
2022/01/01,Johor,P.143 Pagoh,female,42.4
2022/01/01,Johor,P.143 Pagoh,male,53.1
2020/01/01,Johor,P.144 Ledang,both,147.579
2020/01/01,Johor,P.144 Ledang,both,141.228
2020/01/01,Johor,P.144 Ledang,both,6.351
2020/01/01,Johor,P.144 Ledang,female,71.28
2020/01/01,Johor,P.144 Ledang,male,76.299
2021/01/01,Johor,P.144 Ledang,both,148
2021/01/01,Johor,P.144 Ledang,both,142
2021/01/01,Johor,P.144 Ledang,both,5.9
2021/01/01,Johor,P.144 Ledang,female,71.8
2021/01/01,Johor,P.144 Ledang,male,76.2
2022/01/01,Johor,P.144 Ledang,both,148.1
2022/01/01,Johor,P.144 Ledang,both,142.6
2022/01/01,Johor,P.144 Ledang,both,5.5
2022/01/01,Johor,P.144 Ledang,female,72.1
2022/01/01,Johor,P.144 Ledang,male,75.9
2020/01/01,Johor,P.145 Bakri,both,135.179
2020/01/01,Johor,P.145 Bakri,both,118.852
